id,word_1_en,word_2_en,word_3_en,word_1_ja,word_2_ja,word_3_ja,word_class,word_structure_A,word_structure_B,word_alt_en,word_alt_ja,word_IPA,img_URL,word_description,ENG_1,ENG_2,ENG_3,JPN_1,JPN_2,JPN_3,remind_frag,quiz_level
11,decide,decide quickly,I decide quickly to avoid delays.,決定する,迅速に決定する,遅延を避けるために迅速に決定する。,動詞,de- (下へ) + cide- (切る),「下で切る」→選択をすること,incision,切開,/dɪˈsaɪd/,public\images\decide.webp,選択を行い、方針や結論を示す,public\audio\ENG\1\decide.mp3,public\audio\ENG\2\decide.mp3,public\audio\ENG\3\decide.mp3,public\audio\JPN\1\decide.mp3,public\audio\JPN\2\decide.mp3,public\audio\JPN\3\decide.mp3,FALSE,1
12,offer,offer help,We often offer help to newcomers.,提供する,助けを提供する,私たちはよく新人に助けを提供します。,動詞,of- (前) + fer- (運ぶ),「前に運ぶ」→提供する,transfer,移動させる,/ˈɔfər/,public\images\offer.webp,物やサービスを提供し、協力や支援を申し出る,public\audio\ENG\1\offer.mp3,public\audio\ENG\2\offer.mp3,public\audio\ENG\3\offer.mp3,public\audio\JPN\1\offer.mp3,public\audio\JPN\2\offer.mp3,public\audio\JPN\3\offer.mp3,FALSE,1
13,require,require effort,All projects require significant effort.,必要とする,努力が必要,すべてのプロジェクトには大きな努力が必要です。,動詞,re- (再び) + quire- (求める),「再び求める」→必要とすること,acquisition,獲得,/rɪˈkwaɪr/,public\images\require.webp,必須であることを示し、必要条件を提示する,public\audio\ENG\1\require.mp3,public\audio\ENG\2\require.mp3,public\audio\ENG\3\require.mp3,public\audio\JPN\1\require.mp3,public\audio\JPN\2\require.mp3,public\audio\JPN\3\require.mp3,FALSE,1
14,share,share resources,Friends share resources willingly.,共有する,リソースを共有する,友人は喜んでリソースを共有します。,動詞,sha- (分ける) + -re (動詞化),「分ける」→共有する,shareable,共有可能な,/ʃer/,public\images\share.webp,物や情報を分かち合い、協力や連帯を示す,public\audio\ENG\1\share.mp3,public\audio\ENG\2\share.mp3,public\audio\ENG\3\share.mp3,public\audio\JPN\1\share.mp3,public\audio\JPN\2\share.mp3,public\audio\JPN\3\share.mp3,FALSE,1
15,store,data is stored,Customer data is stored securely.,保管する,データが保存される,顧客データは安全に保存されます。,動詞,sto- (立てる) + -re (動詞化),「立てておく」→保管する,storage,保管,/stɔr/,public\images\store.webp,物やデータを安全に保管し、後で利用できるようにする,public\audio\ENG\1\store.mp3,public\audio\ENG\2\store.mp3,public\audio\ENG\3\store.mp3,public\audio\JPN\1\store.mp3,public\audio\JPN\2\store.mp3,public\audio\JPN\3\store.mp3,FALSE,1
16,tend,tend to be late,He tends to be frequently late.,傾向がある,遅れがちである,彼は頻繁に遅れる傾向があります。,動詞,ten- (伸ばす) + -d (動詞化),「伸ばす」→傾向がある,tendency,傾向,/tend/,public\images\tend.webp,特定の方向性や性質を持ち、その傾向を示す,public\audio\ENG\1\tend.mp3,public\audio\ENG\2\tend.mp3,public\audio\ENG\3\tend.mp3,public\audio\JPN\1\tend.mp3,public\audio\JPN\2\tend.mp3,public\audio\JPN\3\tend.mp3,FALSE,1
17,concern,concern about,We concern about environmental issues.,心配させる,～に関する懸念,私たちは環境問題を心配しています。,動詞,con- (一緒に) + cern- (分ける),「一緒に分ける」→心配させる,concerning,関係している,/kənˈsɜrn/,public\images\concern.webp,懸念や興味を引き起こし、気遣いや心配を示す,public\audio\ENG\1\concern.mp3,public\audio\ENG\2\concern.mp3,public\audio\ENG\3\concern.mp3,public\audio\JPN\1\concern.mp3,public\audio\JPN\2\concern.mp3,public\audio\JPN\3\concern.mp3,FALSE,1
18,describe,describe the event,He described the event to people in detail,描写する,イベントを説明する,彼は詳細に人々にそのイベントを説明しました。,動詞,de- (下へ) + scrib- (書く),「下に書く」→描写する,inscribe,刻む,/dɪˈskraɪb/,public\images\describe.webp,詳細に説明し、事象や状況を表現する,public\audio\ENG\1\describe.mp3,public\audio\ENG\2\describe.mp3,public\audio\ENG\3\describe.mp3,public\audio\JPN\1\describe.mp3,public\audio\JPN\2\describe.mp3,public\audio\JPN\3\describe.mp3,FALSE,1
19,involve,involve planning,Success usually involves careful planning.,巻き込む,計画を含む,成功は通常、注意深い計画が必要です。,動詞,in- (内部へ) + volve- (巻く),「内部に巻き込む」→巻き込む,evolution,進化,/ɪnˈvɑlv/,public\images\involve.webp,他者を関与させ、関係を深める,public\audio\ENG\1\involve.mp3,public\audio\ENG\2\involve.mp3,public\audio\ENG\3\involve.mp3,public\audio\JPN\1\involve.mp3,public\audio\JPN\2\involve.mp3,public\audio\JPN\3\involve.mp3,FALSE,1
20,reduce,reduce waste,Effective measures reduce waste significantly.,減少させる,廃棄物を減らす,効果的な対策で廃棄物を大幅に削減できます。,動詞,re- (戻る) + duc- (導く),「戻して導く」→減少させる,introduction,導入,/rɪˈduːs/,public\images\reduce.webp,数量や程度を減らし、縮小や簡素化を行う,public\audio\ENG\1\reduce.mp3,public\audio\ENG\2\reduce.mp3,public\audio\ENG\3\reduce.mp3,public\audio\JPN\1\reduce.mp3,public\audio\JPN\2\reduce.mp3,public\audio\JPN\3\reduce.mp3,FALSE,1
21,design,This house was designed,This house was designed by a famous architect,設計する,この家は設計されました,この家は有名な建築家によって設計されました。,動詞,de- (下へ) + sign- (印),「印をつける」→設計する,designate,指定する,/dɪˈzaɪn/,public\images\design.webp,構想や計画を立案し、形や機能を定める,public\audio\ENG\1\design.mp3,public\audio\ENG\2\design.mp3,public\audio\ENG\3\design.mp3,public\audio\JPN\1\design.mp3,public\audio\JPN\2\design.mp3,public\audio\JPN\3\design.mp3,FALSE,1
22,force,force a decision,They were forced to decide quickly.,強制する,決断を強制する,彼らは迅速に決定するように迫られました。,動詞,for- (強く) + ce- (する),「強くする」→強制する,reinforce,強化する,/fɔrs/,public\images\force.webp,行動や状態を強要し、無理にさせる,public\audio\ENG\1\force.mp3,public\audio\ENG\2\force.mp3,public\audio\ENG\3\force.mp3,public\audio\JPN\1\force.mp3,public\audio\JPN\2\force.mp3,public\audio\JPN\3\force.mp3,FALSE,1
23,limit,this road is limited,The speed on this road is limited to 50 miles per hour.,制限する,この道路は制限されています,この道路の速度制限は時速50マイルです。,動詞,lim- (境界) + -it (動詞化),「境界を設ける」→制限する,eliminate,排除する,/ˈlɪmɪt/,public\images\limit.webp,範囲や行動を限定し、制約を示す,public\audio\ENG\1\limit.mp3,public\audio\ENG\2\limit.mp3,public\audio\ENG\3\limit.mp3,public\audio\JPN\1\limit.mp3,public\audio\JPN\2\limit.mp3,public\audio\JPN\3\limit.mp3,FALSE,1
24,bear,bear responsibility,He bears heavy responsibility in that job,耐える,責任を負う,彼はその仕事で重大な責任を負っています。,動詞,bear (持つ、耐える),「持つ」→耐える,burden,負担,/ber/,public\images\bear.webp,困難や負担を忍び、対処する,public\audio\ENG\1\bear.mp3,public\audio\ENG\2\bear.mp3,public\audio\ENG\3\bear.mp3,public\audio\JPN\1\bear.mp3,public\audio\JPN\2\bear.mp3,public\audio\JPN\3\bear.mp3,FALSE,1
25,affect,have an effect,The phenomenon had an effect on people.,影響を与える,影響を持つ,その現象は人々に影響を与えました。,動詞,af- (向かって) + fect- (作る),「向かって作る」→影響を与える,effect,効果,/əˈfɛkt/,public\images\affect.webp,他者や事象に変化を与え、感情や行動に影響を及ぼす,public\audio\ENG\1\affect.mp3,public\audio\ENG\2\affect.mp3,public\audio\ENG\3\affect.mp3,public\audio\JPN\1\affect.mp3,public\audio\JPN\2\affect.mp3,public\audio\JPN\3\affect.mp3,FALSE,1
26,deal,deal with the situation,We need to deal with the situation,扱う,状況に対処する,私たちはその状況を対処する必要があります。,動詞,deal (配る),「配る」→扱う,dealer,商人,/dil/,public\images\deal.webp,問題や状況に取り組み、対処や解決を行う,public\audio\ENG\1\deal.mp3,public\audio\ENG\2\deal.mp3,public\audio\ENG\3\deal.mp3,public\audio\JPN\1\deal.mp3,public\audio\JPN\2\deal.mp3,public\audio\JPN\3\deal.mp3,FALSE,1
27,avoid,avoid the dangerous road,let's avoid the dangerous road ahead.,避ける,危険な道を避ける,危険な道を避けましょう。,動詞,a- (離れる) + void- (空),「空から離れる」→避ける,evasion,回避,/əˈvɔɪd/,public\images\avoid.webp,問題や危険を避け、不快やトラブルを回避する,public\audio\ENG\1\avoid.mp3,public\audio\ENG\2\avoid.mp3,public\audio\ENG\3\avoid.mp3,public\audio\JPN\1\avoid.mp3,public\audio\JPN\2\avoid.mp3,public\audio\JPN\3\avoid.mp3,FALSE,1
28,relate,relate to people,He can relate to people's experiences,関連付ける,人々に関連する,彼は人々の経験に共感することができます。,動詞,re- (再び) + late- (持つ),「再び持つ」→関連付ける,correlation,相関,/rɪˈleɪt/,public\images\relate.webp,事象や情報を結びつけ、関係を示す,public\audio\ENG\1\relate.mp3,public\audio\ENG\2\relate.mp3,public\audio\ENG\3\relate.mp3,public\audio\JPN\1\relate.mp3,public\audio\JPN\2\relate.mp3,public\audio\JPN\3\relate.mp3,FALSE,1
29,realize,realize potential,Realize your full potential soon.,実現する,潜在能力を実現する,あなたの可能性を早く実現してください。,動詞,re- (再び) + alize- (作る),「再び作る」→実現する,actualize,実現する,/ˈriəlaɪz/,public\images\realize.webp,目標や夢を実現し、理解や認識を得る,public\audio\ENG\1\realize.mp3,public\audio\ENG\2\realize.mp3,public\audio\ENG\3\realize.mp3,public\audio\JPN\1\realize.mp3,public\audio\JPN\2\realize.mp3,public\audio\JPN\3\realize.mp3,FALSE,1
30,encourage,encourages everyone,The leader encourages everyone to do their best.,励ます,皆を奮起させる,リーダーはみんなにベストを尽くすように励ましています。,動詞,en- (中へ) + courage- (勇気),「中に勇気を与える」→励ます,courage,勇気,/ɪnˈkərɪdʒ/,public\images\encourage.webp,ポジティブな行動や考え方を奨励し、前向きな影響を与える,public\audio\ENG\1\encourage.mp3,public\audio\ENG\2\encourage.mp3,public\audio\ENG\3\encourage.mp3,public\audio\JPN\1\encourage.mp3,public\audio\JPN\2\encourage.mp3,public\audio\JPN\3\encourage.mp3,FALSE,1
31,compare,compare products,Evaluate and compare two products,比較する,商品を比較する,2つの製品を評価し比較します。,動詞,com- (共に) + par- (平等),「共に平等にする」→比較する,comparison,比較,/kəmˈper/,public\images\compare.webp,類似点や相違点を認識し、対象を対比する,public\audio\ENG\1\compare.mp3,public\audio\ENG\2\compare.mp3,public\audio\ENG\3\compare.mp3,public\audio\JPN\1\compare.mp3,public\audio\JPN\2\compare.mp3,public\audio\JPN\3\compare.mp3,FALSE,1
32,measure,measure the length,She used a ruler to measure the length of the table.,測定する,長さを測る,彼女はテーブルの長さを測るために定規を使いました。,動詞,mea- (測る) + sure- (確実),「確実に測る」→測定する,measurable,測定可能な,/ˈmɛʒər/,public\images\measure.webp,大きさや量を定量的に評価し、規模や程度を示す,public\audio\ENG\1\measure.mp3,public\audio\ENG\2\measure.mp3,public\audio\ENG\3\measure.mp3,public\audio\JPN\1\measure.mp3,public\audio\JPN\2\measure.mp3,public\audio\JPN\3\measure.mp3,FALSE,1
33,exist,exist peacefully,Species exist peacefully in nature.,存在する,平和に存在する,種は自然の中で平和に存在します。,動詞,ex- (外に) + sist- (立つ),「外に立つ」→存在する,existence,存在,/ɪɡˈzɪst/,public\images\exist.webp,実在し、生存または発生していることを示す,public\audio\ENG\1\exist.mp3,public\audio\ENG\2\exist.mp3,public\audio\ENG\3\exist.mp3,public\audio\JPN\1\exist.mp3,public\audio\JPN\2\exist.mp3,public\audio\JPN\3\exist.mp3,FALSE,1
34,mark,mark the date,She marked the important date on her calendar,記す,日時をマークする,彼女はカレンダーに重要な日付をマークしました。,動詞,mark (印をつける),「印をつける」→記す,landmark,地標,/mɑrk/,public\images\mark.webp,特定の印やマークを付け、区別や識別を行う,public\audio\ENG\1\mark.mp3,public\audio\ENG\2\mark.mp3,public\audio\ENG\3\mark.mp3,public\audio\JPN\1\mark.mp3,public\audio\JPN\2\mark.mp3,public\audio\JPN\3\mark.mp3,FALSE,1
35,challenge,challenge it head-on,She decided to challenge it head-on,挑戦する,それに正面から立ち向かう,彼女はそれに真正面から挑戦することを決めました。,動詞,chal- (呼びかけ) + lenge- (負担),「呼びかける負担」→挑戦する,challenger,挑戦者,/ˈʧæləndʒ/,public\images\challenge.webp,困難や問題に立ち向かい、克服しようとする,public\audio\ENG\1\challenge.mp3,public\audio\ENG\2\challenge.mp3,public\audio\ENG\3\challenge.mp3,public\audio\JPN\1\challJPNe.mp3,public\audio\JPN\2\challJPNe.mp3,public\audio\JPN\3\challJPNe.mp3,FALSE,1
36,depend,depends on the weather.,Our picnic plans depends on the weather.,依存する,天候に依存する,私たちのピクニックの計画は天候に依存しています。,動詞,de- (下) + pend- (ぶら下がる),「下にぶら下がる」→依存する,independent,独立した,/dɪˈpɛnd/,public\images\depend.webp,他者や状況に頼り、影響を受ける,public\audio\ENG\1\depend.mp3,public\audio\ENG\2\depend.mp3,public\audio\ENG\3\depend.mp3,public\audio\JPN\1\depend.mp3,public\audio\JPN\2\depend.mp3,public\audio\JPN\3\depend.mp3,FALSE,1
37,object,object to plans,She objected to the proposed plans.,反対する,計画に異議を唱える,彼女は提案された計画に反対しました。,動詞,ob- (反対に) + ject- (投げる),「反対に投げる」→反対する,objection,異議,/ˈɑbdʒɛkt/,public\images\object.webp,物事に反対し、異議や不賛成を示す,public\audio\ENG\1\object.mp3,public\audio\ENG\2\object.mp3,public\audio\ENG\3\object.mp3,public\audio\JPN\1\object.mp3,public\audio\JPN\2\object.mp3,public\audio\JPN\3\object.mp3,FALSE,1
38,demand,demand the product.,Many people are demanding the product.,要求する,製品を要求する,多くの人々がその製品を要求しています。,動詞,de- (強調) + mand- (命令),「強調された命令」→要求する,command,命令,/dɪˈmænd/,public\images\demand.webp,物やサービスを要求し、必要性を主張する,public\audio\ENG\1\demand.mp3,public\audio\ENG\2\demand.mp3,public\audio\ENG\3\demand.mp3,public\audio\JPN\1\demand.mp3,public\audio\JPN\2\demand.mp3,public\audio\JPN\3\demand.mp3,FALSE,1
39,found,found a company,We found a company leading the market.,創立する,会社を設立する,私たちは市場をリードする会社を見つけました。,動詞,fund- (基盤) + -ed (動詞化),「基盤を作る」→創立する,foundation,基盤,/faʊnd/,public\images\found.webp,企業や組織を設立し、基盤や基礎を築く,public\audio\ENG\1\found.mp3,public\audio\ENG\2\found.mp3,public\audio\ENG\3\found.mp3,public\audio\JPN\1\found.mp3,public\audio\JPN\2\found.mp3,public\audio\JPN\3\found.mp3,FALSE,1
40,complete,complete a project,We diligently try to complete a project.,完了する,プロジェクトを完了する,私たちはプロジェクトを完了しようと熱心に努力しています。,動詞,com- (完全に) + plete- (満たす),「完全に満たす」→完了する,completion,完了,/kəmˈpliːt/,public\images\complete.webp,何かを終え、完全な状態にする,public\audio\ENG\1\complete.mp3,public\audio\ENG\2\complete.mp3,public\audio\ENG\3\complete.mp3,public\audio\JPN\1\complete.mp3,public\audio\JPN\2\complete.mp3,public\audio\JPN\3\complete.mp3,FALSE,1
41,idea,share an idea,Always open to share new ideas.,アイデア,アイデアを共有する,常に新しいアイデアを共有する準備ができています。,名詞,id- (見える) + -ea (形),「見える形」→アイデア,ideal,理想,/ˈaɪdiə/,public\images\idea.webp,考えや概念を示し、構想や発想を表す,public\audio\ENG\1\idea.mp3,public\audio\ENG\2\idea.mp3,public\audio\ENG\3\idea.mp3,public\audio\JPN\1\idea.mp3,public\audio\JPN\2\idea.mp3,public\audio\JPN\3\idea.mp3,FALSE,1
42,accord,be in accord,We need to be in accord with each other,一致する,一致する,私たちはお互いに意見を合わせる必要がある,動詞,ad- (向かって) + cord- (心),「心に向かう」→一致する,harmony,調和,/əˈkɔrd/,public\images\accord.webp,同意や調和を示し、一致する,public\audio\ENG\1\accord.mp3,public\audio\ENG\2\accord.mp3,public\audio\ENG\3\accord.mp3,public\audio\JPN\1\accord.mp3,public\audio\JPN\2\accord.mp3,public\audio\JPN\3\accord.mp3,FALSE,1
43,company,join a company,Plans to join an innovative company.,企業,企業に参加する,革新的な会社に参加する計画です。,名詞,com- (共に) + panis- (パン),「共に食事をする」→企業,companion,仲間,/ˈkʌmpəni/,public\images\company.webp,商業活動や事業を行う組織、あるいは人々の集まり,public\audio\ENG\1\company.mp3,public\audio\ENG\2\company.mp3,public\audio\ENG\3\company.mp3,public\audio\JPN\1\company.mp3,public\audio\JPN\2\company.mp3,public\audio\JPN\3\company.mp3,FALSE,1
44,interest,spark interest,New findings spark significant interest.,興味,興味をかき立てる,新しい発見が大きな関心を呼び起こします。,名詞,inter- (間に) + est- (ある),「間に存在する」→興味,interesting,興味深い,/ˈɪntrɪst/,public\images\interest.webp,関心や興味を持ち、関連することに関心を示す,public\audio\ENG\1\interest.mp3,public\audio\ENG\2\interest.mp3,public\audio\ENG\3\interest.mp3,public\audio\JPN\1\interest.mp3,public\audio\JPN\2\interest.mp3,public\audio\JPN\3\interest.mp3,FALSE,1
45,research,conduct research,Scientists conduct extensive research.,研究する,研究を行う,科学者たちは広範囲な研究を行っています。,動詞,re- (再び) + search- (探す),「再び探す」→研究する,researcher,研究者,/ˈriːsɜrtʃ/,public\images\research.webp,詳細に調査し、知識や情報を収集する,public\audio\ENG\1\research.mp3,public\audio\ENG\2\research.mp3,public\audio\ENG\3\research.mp3,public\audio\JPN\1\research.mp3,public\audio\JPN\2\research.mp3,public\audio\JPN\3\research.mp3,FALSE,1
46,cause,cause concern,Pollution causes environmental concern.,原因,懸念を引き起こす,公害は環境問題を引き起こします。,名詞,caus- (理由) + -e (名詞化),「理由」→原因,causal,因果の,/kɔz/,public\images\cause.webp,結果をもたらす根本的な要因や原因,public\audio\ENG\1\cause.mp3,public\audio\ENG\2\cause.mp3,public\audio\ENG\3\cause.mp3,public\audio\JPN\1\cause.mp3,public\audio\JPN\2\cause.mp3,public\audio\JPN\3\cause.mp3,FALSE,1
47,reason,find a reason,It is ard to find a solid reason.,理由,理由を見つける,確固たる理由を見つけるのは難しいです。,名詞,re- (再び) + son- (音),「再び音を出す」→理由,resonate,共鳴する,/ˈrizən/,public\images\reason.webp,行動や意思決定の背後にある理由や根拠,public\audio\ENG\1\reason.mp3,public\audio\ENG\2\reason.mp3,public\audio\ENG\3\reason.mp3,public\audio\JPN\1\reason.mp3,public\audio\JPN\2\reason.mp3,public\audio\JPN\3\reason.mp3,FALSE,1
48,effect,notice the effect,Notice the effect of changes.,影響,効果に気づく,変化の影響に気づく。,名詞,ef- (外に) + fect- (作る),「外に作る」→影響,effective,効果的な,/ɪˈfɛkt/,public\images\effect.webp,行動や出来事の結果、あるいは影響を与える力,public\audio\ENG\1\effect.mp3,public\audio\ENG\2\effect.mp3,public\audio\ENG\3\effect.mp3,public\audio\JPN\1\effect.mp3,public\audio\JPN\2\effect.mp3,public\audio\JPN\3\effect.mp3,FALSE,1
49,influence,wield influence,Leaders wield significant influence.,影響,影響力を行使する,リーダーは重要な影響力を持っています。,名詞,in- (内部へ) + flu- (流れる),「内部に流れ込む」→影響,fluid,流体,/ˈɪnfluəns/,public\images\influence.webp,他者や事象に影響を及ぼす力や効果,public\audio\ENG\1\influence.mp3,public\audio\ENG\2\influence.mp3,public\audio\ENG\3\influence.mp3,public\audio\JPN\1\influence.mp3,public\audio\JPN\2\influence.mp3,public\audio\JPN\3\influence.mp3,FALSE,1
50,situation,situation in the office,The situation in the office became tense,状況,オフィスの状況,オフィスの状況が緊張しました。,名詞,situ- (置く) + ation- (状態),「置かれた状態」→状況,situate,位置する,/ˌsɪtjuˈeɪʃən/,public\images\situation.webp,特定の場面や状態、あるいは環境や状況,public\audio\ENG\1\situation.mp3,public\audio\ENG\2\situation.mp3,public\audio\ENG\3\situation.mp3,public\audio\JPN\1\situation.mp3,public\audio\JPN\2\situation.mp3,public\audio\JPN\3\situation.mp3,FALSE,1
51,environment,protect the environment,Work to protect the environment.,環境,環境を保護する,環境を保護するために取り組む。,名詞,en- (中に) + viron- (囲む),「囲まれた中」→環境,environ,環境を囲む,/ɪnˈvaɪrənmənt/,public\images\environment.webp,周囲の自然や社会、または物理的な条件や状況,public\audio\ENG\1\environment.mp3,public\audio\ENG\2\environment.mp3,public\audio\ENG\3\environment.mp3,public\audio\JPN\1\environment.mp3,public\audio\JPN\2\environment.mp3,public\audio\JPN\3\environment.mp3,FALSE,1
52,skill,develop skills,Courses designed to develop skills.,技能,スキルを開発する,スキルを開発するためにデザインされたコース。,名詞,scil- (知る) + -l (名詞化),「知識」→技能,scholarly,学問的な,/skɪl/,public\images\skill.webp,特定の能力や技術、あるいは熟練度,public\audio\ENG\1\skill.mp3,public\audio\ENG\2\skill.mp3,public\audio\ENG\3\skill.mp3,public\audio\JPN\1\skill.mp3,public\audio\JPN\2\skill.mp3,public\audio\JPN\3\skill.mp3,FALSE,1
53,matter,discuss the matter,Time to discuss the matter thoroughly.,問題,問題を議論する,問題を徹底的に議論する時間。,名詞,mat- (物) + -ter (名詞化),「物」→問題,material,材料,/ˈmætər/,public\images\matter.webp,物事や事柄、あるいは重要性や意義,public\audio\ENG\1\matter.mp3,public\audio\ENG\2\matter.mp3,public\audio\ENG\3\matter.mp3,public\audio\JPN\1\matter.mp3,public\audio\JPN\2\matter.mp3,public\audio\JPN\3\matter.mp3,FALSE,1
54,view,offer a view,Experts often offer unique views.,見解,見解を提供する,専門家はしばしば独自の視点を提供します。,名詞,vis- (見る) + -ew (動詞化),「見る」→見解,visual,視覚の,/vjuː/,public\images\view.webp,視点や考え方、あるいは意見や見解,public\audio\ENG\1\view.mp3,public\audio\ENG\2\view.mp3,public\audio\ENG\3\view.mp3,public\audio\JPN\1\view.mp3,public\audio\JPN\2\view.mp3,public\audio\JPN\3\view.mp3,FALSE,1
55,value,hold value,Certain artifacts hold immense value.,価値,価値を持つ,ある特定の遺物は膨大な価値を持ちます。,名詞,val- (強さ) + -ue (名詞化),「強さ」→価値,evaluate,評価する,/ˈvæljuː/,public\images\value.webp,物事や行動の重要性や評価、あるいは値段や評価額,public\audio\ENG\1\value.mp3,public\audio\ENG\2\value.mp3,public\audio\ENG\3\value.mp3,public\audio\JPN\1\value.mp3,public\audio\JPN\2\value.mp3,public\audio\JPN\3\value.mp3,FALSE,1
